,country,Number of Athletes,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government
0,Afghanistan,3,2016,4.220168591,7.461400986,0.5590717789999999,52.01652908,0.522566199,0.057072122,0.7932455540000001,0.564952672,0.348332286,0.324989557
1,Albania,6,2016,4.511100769,9.337774277000001,0.638411462,68.87181091,0.72981894,-0.023275997000000003,0.901070774,0.675243735,0.32170599699999997,0.400909811
2,Argentina,232,2016,6.427221297999999,9.824954987,0.882819116,67.39851379,0.847702205,-0.19195242199999998,0.850924492,0.8419067259999999,0.31164646100000004,0.419561833
3,Armenia,34,2016,4.325471878,9.010698318,0.709218323,64.96273041,0.610986948,-0.158838838,0.9214210509999999,0.593600273,0.437227815,0.18471303600000002
4,Australia,518,2016,7.250080109,10.70131111,0.942334235,72.65033722,0.922315717,0.223268315,0.39854511600000003,0.790868282,0.236085787,0.452731758
5,Austria,85,2016,7.048071861,10.70004845,0.9263185859999999,72.04971313,0.888513982,0.071684547,0.52364099,0.755902588,0.19742384600000001,0.43263822799999996
6,Azerbaijan,69,2016,5.303894997,9.679969788,0.777271032,62.96992874,0.712573171,-0.22794014199999998,0.606770813,0.5975934860000001,0.191117197,0.734052122
7,Bangladesh,7,2016,4.556140900000001,8.107524872,0.649116933,62.20419693,0.874700487,-0.08276486400000001,0.6878536340000001,0.559939086,0.235022455,0.845429063
8,Belarus,142,2016,5.177899361000001,9.725690842,0.9265511040000001,66.02493286,0.658228815,-0.136783347,0.664055169,0.5538702010000001,0.18210612199999998,0.452669024
9,Belgium,138,2016,6.948936462000001,10.64682102,0.9289640779999999,72.14292908,0.865759015,-0.064890452,0.49665909999999996,0.764590085,0.259653389,0.41917750200000004
10,Benin,6,2016,4.0073575969999995,7.605870724,0.49281585200000005,51.56885147,0.7797952290000001,-0.040266801,0.837715745,0.608236969,0.45576760200000005,0.63744539
11,Bosnia and Herzegovina,11,2016,5.180865288,9.334980965,0.8077051040000001,67.83840942,0.633453727,0.132285133,0.957311988,0.640764356,0.304080278,0.212188497
12,Botswana,14,2016,3.4989366530000003,9.662895203,0.768302798,57.10989761,0.851694882,-0.26203829100000003,0.729171813,0.68566674,0.251836598,0.803130805
13,Brazil,583,2016,6.374817371000001,9.548503876,0.912455142,65.2454071,0.806571543,-0.112877078,0.781092763,0.763112426,0.30208382,0.264140248
14,Bulgaria,58,2016,4.837560654,9.786640167,0.92603606,66.4154892,0.700265527,-0.176258981,0.9359881879999999,0.62185514,0.171699852,0.221241772
15,Burkina Faso,5,2016,4.205634594,7.403783321000001,0.764401138,51.99484634,0.644681513,0.011582303,0.7205424309999999,0.616066873,0.33730018100000003,0.6637113689999999
16,Cambodia,6,2016,4.461259365,8.150504112,0.7459012270000001,58.32095718,0.957821488,0.075221501,0.840416849,0.838551998,0.398200303,0.739886224
17,Cameroon,22,2016,4.816232203999999,8.115765572,0.659299791,49.73761749,0.71250701,-0.00575576,0.87945056,0.661523461,0.36709338399999997,0.621221066
18,Canada,405,2016,7.244845867,10.670993800000002,0.9243925209999999,72.26780701,0.912423909,0.19691582,0.385090441,0.824586391,0.23742286899999998,0.618195295
19,Central African Republic,6,2016,2.693061113,6.473706245,0.29018417,43.98196793,0.624056518,0.058876671,0.859073043,0.578653812,0.49426806,0.7487545609999999
