Position,Track Name,Artist,Streams,date,region,id,uri,happiness,energy,danceability,loudness,speechiness,instrumentalness
82,Call On Me - Ryan Riback Extended Remix,Starley,3279,1/6/2017,cr,78rIJddV4X0HkNAInEcYde,spotify:track:78rIJddV4X0HkNAInEcYde,,,,,,
35,Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),Arcangel,3279,2/3/2017,pa,6NSMQFKgjpQb0KkjMDYIK0,spotify:track:6NSMQFKgjpQb0KkjMDYIK0,,,,,,
107,Don't Let Me Down,The Chainsmokers,3279,4/14/2017,pt,0QsvXIfqM0zZoerQfsI9lm,spotify:track:0QsvXIfqM0zZoerQfsI9lm,,,,,,
47,Hey DJ,CNCO,3278,11/24/2017,pa,209gZgcfLq2aUuu51vOWBl,spotify:track:209gZgcfLq2aUuu51vOWBl,,,,,,
53,Perfect,Ed Sheeran,3277,3/3/2017,uy,0tgVpDi06FyKpA1z0VMD4v,spotify:track:0tgVpDi06FyKpA1z0VMD4v,,,,,,
118,First Time,Kygo,3276,7/7/2017,cr,2Gl0FzuLxflY6nPifJp5Dr,spotify:track:2Gl0FzuLxflY6nPifJp5Dr,,,,,,
43,Scared to Be Lonely,Martin Garrix,3276,5/12/2017,do,3ebXMykcMXOcLeJ9xZ17XH,spotify:track:3ebXMykcMXOcLeJ9xZ17XH,,,,,,
28,Tu Foto,Ozuna,3275,7/7/2017,bo,0Szp49tpFasIjX04Mcsydp,spotify:track:0Szp49tpFasIjX04Mcsydp,,,,,,
159,Don't,Ed Sheeran,3274,3/3/2017,be,6gTJaPuj8DT8RjuDJyBgzP,spotify:track:6gTJaPuj8DT8RjuDJyBgzP,,,,,,
113,All of Me,John Legend,3274,5/12/2017,cr,3uhBIQ7tv8j1FME8cFGEfG,spotify:track:3uhBIQ7tv8j1FME8cFGEfG,,,,,,
68,Qué Gano Olvidándote - Versión Urbana,Reik,3274,3/3/2017,ec,3H179O48ynsu9q8LOnFQZY,spotify:track:3H179O48ynsu9q8LOnFQZY,,,,,,
163,Speeding Cars,Walking On Cars,3274,1/6/2017,ie,4GylZDT7adqIfVoPHyFb5X,spotify:track:4GylZDT7adqIfVoPHyFb5X,,,,,,
182,Sunset Lover,Petit Biscuit,3274,3/3/2017,ie,0hNduWmlWmEmuwEFcYvRu1,spotify:track:0hNduWmlWmEmuwEFcYvRu1,,,,,,
33,Closer,The Chainsmokers,3274,3/3/2017,pa,7BKLCZ1jbUBVqRi2FVlTVw,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,,,,,,
126,I Feel It Coming,The Weeknd,3273,9/1/2017,cr,5GXAXm5YOmYT0kL5jHvYBt,spotify:track:5GXAXm5YOmYT0kL5jHvYBt,,,,,,
118,Pensa Bem,D.A.M.A,3273,8/4/2017,pt,6wTei65pnupISbY22iIfDa,spotify:track:6wTei65pnupISbY22iIfDa,,,,,,
30,Attention,Charlie Puth,3272,6/9/2017,pa,4iLqG9SeJSnt0cSPICSjxv,spotify:track:4iLqG9SeJSnt0cSPICSjxv,,,,,,
13,Dive,Ed Sheeran,3272,3/3/2017,sk,51ChrwmUPDJvedPQnIU8Ls,spotify:track:51ChrwmUPDJvedPQnIU8Ls,,,,,,
123,La Gozadera,Gente De Zona,3271,3/3/2017,cr,0OMRAvrtLWE2TvcXorRiB9,spotify:track:0OMRAvrtLWE2TvcXorRiB9,,,,,,
119,Happier,Ed Sheeran,3271,7/7/2017,cr,2RttW7RAu5nOAfq6YFvApB,spotify:track:2RttW7RAu5nOAfq6YFvApB,,,,,,
