Position,Track Name,Artist,Streams,date,region,id,uri,happiness,energy,danceability,loudness,speechiness,instrumentalness
65,Bum Bum Tam Tam,MC Fioti,111915,11/24/2017,br,7KBfjlQ85Fqs2MCCvXSW0c,spotify:track:7KBfjlQ85Fqs2MCCvXSW0c,0.556,0.667,0.957,-5.353,0.0856,0.0205
20,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,111914,9/1/2017,se,5bcTCxgc7xVfSaMV3RuVke,spotify:track:5bcTCxgc7xVfSaMV3RuVke,0.872,0.745,0.893,-3.105,0.0571,0
15,Cold Water (feat. Justin Bieber & MÃ),Major Lazer,111883,1/6/2017,ph,6DNtNfH8hXkqOX1sjqmI7p,spotify:track:6DNtNfH8hXkqOX1sjqmI7p,0.501,0.798,0.608,-5.092,0.0432,0
17,Solo Dance,Martin Jensen,111851,4/14/2017,se,6HUnnBwYZqcED1eQztxMBN,spotify:track:6HUnnBwYZqcED1eQztxMBN,0.36,0.836,0.744,-2.396,0.0507,0
18,"How Far I'll Go - From ""Moana""",Alessia Cara,111843,4/14/2017,se,5hYTyyh2odQKphUbMqc5gN,spotify:track:5hYTyyh2odQKphUbMqc5gN,0.159,0.555,0.314,-9.601,0.37,0.000108
48,Dusk Till Dawn - Radio Edit,ZAYN,111830,11/24/2017,mx,1j4kHkkpqZRBwE0A4CN4Yv,spotify:track:1j4kHkkpqZRBwE0A4CN4Yv,0.0967,0.437,0.258,-6.593,0.039,1.27e-06
18,2U (feat. Justin Bieber),David Guetta,111811,9/1/2017,nl,3A7qX2QjDlPnazUsRk5y0M,spotify:track:3A7qX2QjDlPnazUsRk5y0M,0.557,0.65,0.548,-5.827,0.0591,0
12,Havana,Camila Cabello,111772,11/24/2017,it,0ofbQMrRDsUaVKq2mGLEAb,spotify:track:0ofbQMrRDsUaVKq2mGLEAb,0.418,0.517,0.768,-4.323,0.0312,3.8e-05
16,Perfect Strangers,Jonas Blue,111763,1/6/2017,ph,1CUVN2kn7mW5FjkqXTR2W1,spotify:track:1CUVN2kn7mW5FjkqXTR2W1,0.709,0.819,0.742,-5.307,0.0487,0
8,Ric Flair Drip (& Metro Boomin),Offset,111750,11/24/2017,ca,7sO5G9EABYOXQKNPNiE9NR,spotify:track:7sO5G9EABYOXQKNPNiE9NR,0.333,0.428,0.88,-8.28,0.206,5.07e-05
