Position,Track Name,Artist,Streams,date,region,id,uri,happiness,energy,danceability,loudness,speechiness,instrumentalness
7,Back to You (feat. Bebe Rexha & Digital Farm Animals),Louis Tomlinson,5154,9/1/2017,th,7F9vK8hNFMml4GtHsaXui6,spotify:track:7F9vK8hNFMml4GtHsaXui6,0.645,0.53,0.683,-4.918,0.142,0
24,OK,Robin Schulz,5153,7/7/2017,cz,3bWAqKDWg6u1davspr5IkS,spotify:track:3bWAqKDWg6u1davspr5IkS,0.583,0.81,0.653,-6.032,0.0558,0
123,Take Me To Church,Hozier,5153,1/6/2017,pl,0IqKeD8ZSP72KbGYyzEcAs,spotify:track:0IqKeD8ZSP72KbGYyzEcAs,0.437,0.664,0.566,-5.303,0.0464,0
50,I Feel It Coming,The Weeknd,5152,7/7/2017,ec,5GXAXm5YOmYT0kL5jHvYBt,spotify:track:5GXAXm5YOmYT0kL5jHvYBt,0.585,0.819,0.773,-5.946,0.118,0
164,De Pies A Cabeza,Maná,5151,3/3/2017,co,2CkHE54EH44Qj945ynQRw7,spotify:track:2CkHE54EH44Qj945ynQRw7,0.874,0.814,0.695,-5.35,0.0461,8.53E-05
7,Mayores,Becky G,5151,9/1/2017,hn,7JNh1cfm0eXjqFVOzKLyau,spotify:track:7JNh1cfm0eXjqFVOzKLyau,0.871,0.855,0.743,-3.976,0.0436,0.0045
139,This Is What You Came For,Calvin Harris,5151,7/7/2017,nz,0azC730Exh71aQlOt9Zj3y,spotify:track:0azC730Exh71aQlOt9Zj3y,0.465,0.928,0.63,-2.787,0.0331,0.124
45,Castle on the Hill,Ed Sheeran,5150,3/3/2017,ec,6PCUP3dWmTjcTtXY02oFdT,spotify:track:6PCUP3dWmTjcTtXY02oFdT,0.471,0.834,0.461,-4.868,0.0989,1.14E-05
175,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,5150,3/3/2017,nz,5Z01UMMf7V1o0MzF86s6WJ,spotify:track:5Z01UMMf7V1o0MzF86s6WJ,0.0689,0.732,0.698,-4.522,0.266,0.000647
155,Mr. Brightside,The Killers,5150,4/14/2017,nz,7oK9VyNzrYvRFo7nQEYkWN,spotify:track:7oK9VyNzrYvRFo7nQEYkWN,0.234,0.936,0.33,-3.66,0.0917,0
166,"City Of Stars - From ""La La Land"" Soundtrack",Ryan Gosling,5150,2/3/2017,pe,0LtVx5vsq9nfpGsWgjUin6,spotify:track:0LtVx5vsq9nfpGsWgjUin6,0.419,0.121,0.483,-15.133,0.0349,0
8,Attention,Charlie Puth,5150,9/1/2017,th,4iLqG9SeJSnt0cSPICSjxv,spotify:track:4iLqG9SeJSnt0cSPICSjxv,0.777,0.626,0.774,-4.432,0.0432,3.12E-05
33,Issues,Julia Michaels,5149,5/12/2017,jp,1sXUWdKx03aP9Gmzft58rt,spotify:track:1sXUWdKx03aP9Gmzft58rt,0.426,0.427,0.683,-6.827,0.0777,0
31,Reggaetón Lento (Bailemos),CNCO,5149,8/4/2017,uy,3AEZUABDXNtecAOSC1qTfo,spotify:track:3AEZUABDXNtecAOSC1qTfo,0.71,0.838,0.761,-3.073,0.0502,0
185,HUMBLE.,Kendrick Lamar,5148,9/1/2017,co,7KXjTSCq5nL1LoYtL7XAwS,spotify:track:7KXjTSCq5nL1LoYtL7XAwS,0.421,0.621,0.908,-6.638,0.102,5.39E-05
172,Love On The Brain,Rihanna,5148,5/12/2017,nz,2aksifNn5ph8igDOkPBA02,spotify:track:2aksifNn5ph8igDOkPBA02,0.378,0.637,0.509,-4.83,0.0471,1.08E-05
173,My Way,Calvin Harris,5148,5/12/2017,nz,1vvNmPOiUuyCbgWmtc6yfm,spotify:track:1vvNmPOiUuyCbgWmtc6yfm,0.536,0.913,0.819,-3.059,0.0427,3.72E-05
76,goosebumps,Travis Scott,5147,8/4/2017,ch,6gBFPUFcJLzWGx4lenP6h2,spotify:track:6gBFPUFcJLzWGx4lenP6h2,0.43,0.728,0.841,-3.37,0.0484,0
115,Ex (feat. YG),Ty Dolla $ign,5147,10/27/2017,ch,1Mb187X5w3OUQNH6P5M28Y,spotify:track:1Mb187X5w3OUQNH6P5M28Y,0.523,0.426,0.77,-5.717,0.0473,0
170,Scared to Be Lonely,Martin Garrix,5146,11/24/2017,co,3ebXMykcMXOcLeJ9xZ17XH,spotify:track:3ebXMykcMXOcLeJ9xZ17XH,0.195,0.54,0.584,-7.786,0.0576,0
