Position,Track Name,Artist,date,region,id
1,EL BAÑO,Enrique Iglesias,1/15/2018,ar,2vvdTrdryjsl8DmPIMDWZU
2,Corazón,Maluma,1/15/2018,ar,4lESS6vuruP6a79KWRaQou
3,Movimiento Naranja Yuawi,Yuawi,1/15/2018,ar,7yJhseqU4pncHX90Tbalmp
4,Échame La Culpa,Luis Fonsi,1/15/2018,ar,1zsG4eaZmkA1dvjDDsAGLK
5,Déjala que vuelva (feat. Manuel Turizo),Piso 21,1/15/2018,ar,33bnxcjePIkcmNjEFTJX0l
6,My My My!,Troye Sivan,1/15/2018,ar,2Tq2R8sRftNEqdgJK5HadO
7,Frente a Ti,Make Mama Proud,1/15/2018,ar,4iCndBKeAFrUfrBnwqLW43
8,Rewrite The Stars,Zac Efron,1/15/2018,ar,630sXRhIcfwr2e4RdNtjKN
9,Bella,Wolfine,1/15/2018,ar,4R55IUi2x7S5ek2SpebOiE
10,Mayores,Becky G,1/15/2018,ar,7JNh1cfm0eXjqFVOzKLyau
11,Pa Saber Amar,Marko Silva,1/15/2018,ar,287F5s39qVTc3qhCYDiiZB
12,#Natural,Paty Cantú,1/15/2018,ar,3cRJo0hXMcrXa7oLfAUU4d
13,This Is Me,Keala Settle,1/15/2018,ar,2xGjteMU3E1tkEPVFBO08U
14,A Million Dreams,Ziv Zaifman,1/15/2018,ar,0RoA7ObU6phWpqhlC9zH4Z
15,Sensualidad,Bad Bunny,1/15/2018,ar,5hcisvFMidkMJlElTO9Qmw
16,Downtown,Anitta,1/15/2018,ar,3Ga6eKrUFf12ouh9Yw3v2D
17,Vete,Khea,1/15/2018,ar,2rZB6indPhp8C5AZK1PpkS
18,"King's Dead (with Kendrick Lamar, Future & James Blake)",Jay Rock,1/15/2018,ar,51rXHuKN8Loc4sUlKPODgH
19,El Desierto de Dios,Vanthra,1/15/2018,ar,6KKgjh5kwTnyY6WYXCTNQK
20,"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",Kali Uchis,1/15/2018,ar,1gmarFWgSwb4SWlmqDjWka
21,Bum Bum Tam Tam,MC Fioti,1/15/2018,ar,4zWO4gvuFtw6EJZC5FFGlr
22,Havana - Remix,Camila Cabello,1/15/2018,ar,3whrwq4DtvucphBPUogRuJ
23,Roast Yourself,La Divaza,1/15/2018,ar,5f1a5e9hXY3ZURhP98Zj5f
